LGA Code,LGA Name,Region Type,Council Name,Regional Groups,,,Population,Households Surveyed,Average Domestic Waste Management Cost (DWMC) $,Households with Residual Waste Service,Households with Recycling Service,Households with Garden Organics Service,Households with Food and Garden Organics Service,Clean Up Service occurences ,Drop Off Service access,,Drop Off Facility 1,Drop Off Facility 2,Drop Off Facility 3,Drop Off Facility 4,Drop Off Facility 5,Drop Off Facility 6,
10050,Albury,C,RAMJO Murray,Rest of NSW,,,53767,23663,250,22416,22416,0,22416,0,Yes,,Albury Waste Management Centre,,,,,,
10130,Armidale Regional,A,NIRW,Rest of NSW,,,30707,12818,390,11023,11201,0,10058,0,Yes,,Guyra Waste Transfer Facility,Tilbuster Waste Transfer Station,Ebor Waste Transfer Station,Woollomombi Waste Transfer Station,Hillgrove Waste Transfer Station,,
10250,Ballina,A,NEWF,RRA,,,44208,19441,393,18320,18262,0,15502,0,No,,Ballina Waste Management Centre,,,,,,
10300,Balranald,A,RAMJO Murray,Rest of NSW,,,2340,1675,330,729,0,0,0,729,Yes,,Balranald,Euston,,,,,
10470,Bathurst Regional,A,NetWaste,Rest of NSW,,,43206,19783,394,15150,15113,0,13593,0,Yes,,Bathurst Waste Management Centre,Sofala Transfer Station,Sunny Corner Transfer Station,Rockley Transfer Station,Trunkey Creek Transfer Station,Hill End Landfill,
10500,Bayside Council ,C,SSROC,SMA,,,174378,62850,482,62743,62743,9000,0,62743,Yes,,,,,,,,
10550,Bega Valley,A,CRJO,Rest of NSW,,,34348,20165,485,16318,16318,0,12005,0,Yes,,Merimbula Waste and Recycling Depot,Bermagui Waste and Recycling Depot,Eden Waste and Recycling Depot,Wallagoot Waste and Recycling Depot,Rural Transfer Station,,
10600,Bellingen,A,MidWaste,RRA,,,12963,7944,679,4260,4260,0,4260,6990,No,,Raleigh Waste Management Centre,Bellingen Transfer Station,Dorrigo Waste Management Centre,,,,
10650,Berrigan,A,RAMJO Murray,Rest of NSW,,,8707,5104,314,3339,3339,0,0,0,Yes,,Berrigan Landfill,Tocumwal Transfer Station,,,,,
10750,Blacktown,C,WSROC,SMA,,,366534,131950,520,111559,111559,0,0,123243,No,,Chemical Cleanout - Depot,,,,,,
10800,Bland,A,REROC,Rest of NSW,,,5985,4500,394,1800,0,0,0,0,Yes,,West Wyalong Landfill,,,,,,
10850,Blayney,A,NetWaste,Rest of NSW,,,7342,4067,380,3722,3722,0,0,3722,Yes,,Blayney Waste Facility,,,,,,
10900,Blue Mountains,C,WSROC,RRA,,,79260,38285,401.5,33336,33336,33336,0,34749,Yes,,Katoomba Resource Recovery and Waste Management Facilitiy,Blaxland Waste and Resource Recovery Facility,,,,,
10950,Bogan,A,NetWaste,Rest of NSW,,,2621,2095,228,896,896,0,0,0,No,,Nyngan Waste Facility,,,,,,
11150,Bourke,A,NetWaste,Rest of NSW,,,2630,1030,284,922,0,0,0,0,No,,,,,,,,
11200,Brewarrina,A,NetWaste,Rest of NSW,,,1655,725,454,637,0,0,0,0,Yes,,Brewarrina Waste Depot,Goodooga Waste Depot,Angledool Waste depot,Weilmoringle Waste depot,,,
11250,Broken Hill,C,NetWaste,Rest of NSW,,,17734,10000,475,10000,0,0,8200,0,No,,Broken Hill Waste Management Facility ,,,,,,
11300,Burwood,A,SSROC,SMA,,,39886,13458,398.1,13458,13458,13458,0,13284,Yes,,E-waste Drop Off,,,,,,
11350,Byron,A,NEWF,RRA,,,34574,14266,278,13745,13887,0,10598,0,Yes,,Byron Resource Recovery Facility,,,,,,
11400,Cabonne,A,NetWaste,Rest of NSW,,,13680,7047,377.1,3599,3599,0,0,7047,Yes,,Canowindra Waste Management Facility,Cargo Waste Management Facility,Cumnock Waste Management Facility,Eugowra Waste Management Facility,Manildra Waste Management Facility,Yeoval Waste Management Facility,
11450,Camden,A,MACROC,SMA,,,94159,36907,355,33014,33030,30890,0,32405,Yes,,,,,,,,
11500,Campbelltown,C,MACROC,SMA,,,168139,56604,394.55,56604,56604,56101,0,53880,Yes,,,,,,,,
11520,Canada Bay,A,SSROC,SMA,,,95159,38004,402.5,26423,27065,19198,0,37057,Yes,,,,,,,,
11570,Canterbury-Bankstown,A,SSROC,SMA,,,373931,134640,517.5,126833,126833,126833,0,126833,No,,,,,,,,
11600,Carrathool,A,RAMJO Riverina,Rest of NSW,,,2802,1330,180,600,0,0,0,0,No,,,,,,,,
11650,Central Coast,C,Hunter,ERA,,,342047,132882,490,132882,132882,125586,0,130370,Yes,,Buttonderrry,Kincumber,Woy Woy,,,,
11700,Central Darling,A,NetWaste,Rest of NSW,,,1837,1953,617,719,0,0,0,0,Yes,,,,,,,,
11720,Cessnock,C,Hunter,ERA,,,59101,27637,555,22397,22648,21715,0,0,Yes,,Cessnock Waste Management Centre,,,,,,
11730,Clarence Valley,A,NEWF,RRA,,,51647,26602,346,21753,21753,0,17884,24881,Yes,,Grafton Landfill,Glenreagh Waste Transfer Station,Grafton Waste Transfer Station,Maclean Waste Transfer Station,Tyringham Waste Transfer Station,Copmanhurst Waste Transfer Station,Iluka Waste Transfer Station
11750,Cobar,A,NetWaste,Rest of NSW,,,4722,2850,230,2465,0,0,0,0,No,,,,,,,,
11800,Coffs Harbour,C,MidWaste,RRA,,,76551,33056,675,25826,25826,0,25826,7143,Yes,,Coramba Transfer Station,Lowanna Transfer Station,Woolgoolga Transfer Station,Englands Road Waste Management Facility ,,,
12000,Coolamon,A,REROC,Rest of NSW,,,4368,2990,186,2047,2047,0,0,2047,No,,,,,,,,
12150,Coonamble,A,NetWaste,Rest of NSW,,,4014,2704,280,1595,0,0,0,0,No,,Coonamble Landfill,Quambone Landfill,,,,,
12350,Cowra,A,NetWaste,Rest of NSW,,,12767,4424,649,4424,4424,0,0,0,Yes,,Woodstock,,,,,,
12380,Cumberland,A,WSROC,SMA,,,236893,73765,446,68304,68405,29454,0,68029,Yes,,Holroyd Depot,,,,,,
12700,Dungog,A,Hunter,RRA,,,9346,5204,442,3671,3648,0,0,3725,Yes,,Dungog Waste Management Facility,,,,,,
12730,Edward River,A,RAMJO Murray,Rest of NSW,,,8995,5051,359,3630,0,0,0,0,Yes,,Deniliquin Waste Disposal Depot,Blighty Landfill,Booroorban Landfill,Conargo Landfill,Pretty Pine Landfill,Wanganella Landfill,
12750,Eurobodalla,A,CRJO,Rest of NSW,,,38288,23828,304.57,22593,22362,20756,0,21715,Yes,,Brou Waste Management Facility,Surfbeach Waste Management Facility,Moruya Transfer Station,,,,
