,,,,,Total Domestic Organics Generation (tonnes),,,,,,,,,,,,,,,,,,,,,,
,,,,,Kerbside Organics Bin,,,,Kerbside FOGO Organics,,,,Drop off Organics,,,,Cleanup Organics,,,,Other Council Garden Organics,,,,Total Domestic Organics,,
LGA Code,LGA Name,Region Type,Council Name,Regional Groups, Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed
10050,Albury,C,RAMJO Murray,Rest of NSW,, -   ,,," 9,025 "," 9,021 ", 5 ,," 2,985 "," 2,985 ", -   ,, -   , -   , -   ,, -   , -   , -   ,," 12,010 "," 12,006 ", 5 
10130,Armidale Regional,A,NIRW,Rest of NSW,, -   ,,," 1,976 "," 1,956 ", 20 ,," 4,759 "," 4,759 ", -   ,, -   , -   , -   ,, 312.1 , -   , 312.1 ,," 7,047 "," 6,715 ", 332 
10250,Ballina,A,NEWF,RRA,, -   ,,," 4,365 "," 4,365 ", -   ,, -   , -   , -   ,, -   , -   , -   ,, 600.0 , 600.0 , -   ,," 4,965 "," 4,965 ", -   
10300,Balranald,A,RAMJO Murray,Rest of NSW,, -   ,,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,,,,,, -   , -   , -   
10470,Bathurst Regional,A,NetWaste,Rest of NSW, -   , -   , -   ,," 3,978 "," 3,898 ", 80 ,," 2,113 "," 2,113 ", -   ,, -   , -   , -   ,, -   , -   , -   ,," 6,091 "," 6,012 ", 80 
10500,Bayside Council ,C,SSROC,SMA," 1,551 "," 1,522 ", 29 ,, -   , -   , -   ,, 48 , 48 , -   ,, -   , -   , -   ,, -   , -   , -   ,," 1,599 "," 1,570 ", 29 
10550,Bega Valley,A,CRJO,Rest of NSW,, -   ,,," 4,054 "," 4,029 ", 25 ,," 3,020 "," 3,020 ", -   ,, -   , -   , -   ,,,,,," 7,074 "," 7,049 ", 25 
10600,Bellingen,A,MidWaste,RRA,, -   ,,," 1,525 "," 1,495 ", 31 ,, -   , -   , -   ,, -   , -   , -   ,,,,,," 1,525 "," 1,495 ", 31 
10650,Berrigan,A,RAMJO Murray,Rest of NSW,, -   ,,,, -   ,,, 232 , 232 , -   ,, -   , -   , -   ,,,,,, 232 , 232 , -   
10750,Blacktown,C,WSROC,SMA,, -   ,,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
10800,Bland,A,REROC,Rest of NSW,, -   ,,,, -   ,,, 123 , 123 , -   ,, -   , -   , -   ,,,,,, 123 , 123 , -   
10850,Blayney,A,NetWaste,Rest of NSW,, -   ,,,, -   ,,, 276 , 276 , -   ,, -   , -   , -   ,,,,,, 276 , 276 , -   
10900,Blue Mountains,C,WSROC,RRA," 9,289 "," 9,103 ", 186 ,,, -   ,,," 2,808 "," 2,808 ", -   ,," 1,385 "," 1,385 ", -   ,, -   , -   , -   ,," 13,482 "," 13,296 ", 186 
10950,Bogan,A,NetWaste,Rest of NSW,, -   ,,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,,,,,, -   , -   , -   
11150,Bourke,A,NetWaste,Rest of NSW,, -   ,,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,,,,,, -   , -   , -   
11200,Brewarrina,A,NetWaste,Rest of NSW,, -   ,,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,,,,,, -   , -   , -   
11250,Broken Hill,C,NetWaste,Rest of NSW,, -   ,,," 5,000 "," 5,000 ", -   ,, -   , -   , -   ,, -   , -   , -   ,," 1,100.0 "," 1,100.0 ", -   ,," 6,100 "," 6,100 ", -   
11300,Burwood,A,SSROC,SMA," 2,329 "," 2,329 ", -   ,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,," 2,329 "," 2,329 ", -   
11350,Byron,A,NEWF,RRA,, -   ,,," 5,057 "," 5,055 ", 2 ,," 3,389 "," 3,389 ", -   ,, -   , -   , -   ,, -   , -   , -   ,," 8,445 "," 8,444 ", 2 
11400,Cabonne,A,NetWaste,Rest of NSW,, -   ,,,, -   ,,, 156 , 156 , -   ,, -   , -   , -   ,,,,,, 156 , 156 , -   
11450,Camden,A,MACROC,SMA," 10,668 "," 10,668 ", -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, 173.0 , 173.0 , -   ,," 10,841 "," 10,841 ", -   
11500,Campbelltown,C,MACROC,SMA," 15,715 "," 14,951 ", 764 ,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,," 15,715 "," 14,951 ", 764 
11520,Canada Bay,A,SSROC,SMA," 4,618 "," 4,572 ", 46 ,,, -   ,,, -   , -   , -   ,, 311 , 308 , 3 ,, 241.6 , -   , 241.6 ,," 5,171 "," 4,880 ", 291 
11570,Canterbury-Bankstown,A,SSROC,SMA," 29,742 "," 28,381 "," 1,361 ",,, -   ,,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,," 29,742 "," 28,381 "," 1,361 "
11600,Carrathool,A,RAMJO Riverina,Rest of NSW,, -   ,,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
11650,Central Coast,C,Hunter,ERA," 38,495 "," 38,100 ", 395 ,,, -   ,,," 7,986 "," 7,986 ", -   ,," 3,567 "," 3,567 ", -   ,," 9,005.0 "," 9,005.0 ", -   ,," 59,053 "," 58,658 ", 395 
11700,Central Darling,A,NetWaste,Rest of NSW,, -   ,,,, -   ,,, 90 , 45 , 45 ,, -   , -   , -   ,,,,,, 90 , 45 , 45 
11720,Cessnock,C,Hunter,ERA," 5,447 "," 5,428 ", 19 ,,, -   ,,, 901 , 901 , -   ,, -   , -   , -   ,, -   , -   , -   ,," 6,348 "," 6,329 ", 19 
11730,Clarence Valley,A,NEWF,RRA,, -   ,,," 7,018 "," 6,983 ", 35 ,," 1,097 "," 1,097 ", -   ,, -   , -   , -   ,, -   , -   , -   ,," 8,115 "," 8,080 ", 35 
11750,Cobar,A,NetWaste,Rest of NSW,, -   ,,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,,,,,, -   , -   , -   
11800,Coffs Harbour,C,MidWaste,RRA,, -   ,,," 11,270 "," 10,540 ", 730 ,," 1,594 "," 1,594 ", -   ,, -   , -   , -   ,, -   , -   , -   ,," 12,864 "," 12,134 ", 730 
12000,Coolamon,A,REROC,Rest of NSW,, -   ,,, 210 , 210 , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, 210 , 210 , -   
12150,Coonamble,A,NetWaste,Rest of NSW,, -   ,,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,,,,,, -   , -   , -   
12350,Cowra,A,NetWaste,Rest of NSW,, -   ,,,, -   ,,, 6 , -   , 6 ,, -   , -   , -   ,,,,,, 6 , -   , 6 
12380,Cumberland,A,WSROC,SMA," 1,604 "," 1,604 ", -   ,,, -   ,,," 1,400 "," 1,400 ", -   ,, -   , -   , -   ,, -   , -   , -   ,," 3,004 "," 3,004 ", -   
12700,Dungog,A,Hunter,RRA,, -   ,,,, -   ,,, 92 , 92 , -   ,, 9 , 9 , -   ,, 80.2 , 80.0 , -   ,, 181 , 181 , -   
12730,Edward River,A,RAMJO Murray,Rest of NSW,, -   ,,,, -   ,,, 646 , -   , 646 ,, -   , -   , -   ,, 30.7 , -   , 30.7 ,, 676 , -   , 676 
12750,Eurobodalla,A,CRJO,Rest of NSW," 4,971 "," 4,965 ", 6 ,,, -   ,,," 3,175 "," 3,175 ", -   ,, -   , -   , -   ,, 378.9 , 378.0 , -   ,," 8,525 "," 8,518 ", 6 
12850,Fairfield,C,WSROC,SMA,, -   ,,,, -   ,,, 10 , 10 , -   ,, -   , -   , -   ,, -   , -   , -   ,, 10 , 10 , -   
12870,Federation,A,RAMJO Murray,Rest of NSW,, -   ,,," 2,113 "," 2,113 ", -   ,, 418 , -   , 418 ,, -   , -   , -   ,,,,,," 2,531 "," 2,113 ", 418 
12900,Forbes,A,NetWaste,Rest of NSW,, -   ,,, 924 , 924 , -   ,, -   , -   , -   ,, -   , -   , -   ,,,,,, 924 , 924 , -   
12930,Georges River,A,SSROC,SMA," 11,751 "," 11,716 ", 35 ,,, -   ,,, 3 , -   , 3 ,, -   , -   , -   ,,,,,," 11,754 "," 11,716 ", 38 
12950,Gilgandra,A,NetWaste,Rest of NSW,, -   ,,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,,,,,, -   , -   , -   
13010,Glen Innes Severn,A,NIRW,Rest of NSW,, -   ,,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,,,,,, -   , -   , -   
13310,Goulburn Mulwaree,A,CRJO,Rest of NSW,, -   ,,," 1,275 "," 1,275 ", -   ,," 1,780 "," 1,780 ", -   ,, -   , -   , -   ,, -   , -   , -   ,," 3,055 "," 3,055 ", -   
13340,Greater Hume Shire,A,RAMJO Murray,Rest of NSW,, -   ,,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,,,,,, -   , -   , -   
13450,Griffith,C,RAMJO Riverina,Rest of NSW,, -   ,,,, -   ,,, 151 , -   , 151 ,, -   , -   , -   ,, -   , -   , -   ,, 151 , -   , 151 
13510,Gundagai - Cootamundra,A,REROC,Rest of NSW," 1,127 ", -   ," 1,127 ",, 98 , 97 , 1 ,, 527 , 527 , -   ,," 2,860 ", -   ," 2,860 ",, 395.0 , 395.0 , -   ,," 5,006 "," 1,018 "," 3,988 "
13550,Gunnedah,A,NIRW,Rest of NSW, 758 , 671 , 87 ,,, -   ,,, 215 , 205 , 10 ,, -   , -   , -   ,, 210.2 , 210.0 , -   ,," 1,183 "," 1,086 ", 97 
13660,Gwydir,A,NIRW,Rest of NSW,, -   ,,, 162 , 161 , 1 ,, 483 , 483 , -   ,, -   , -   , -   ,, -   , -   , -   ,, 645 , 644 , 1 
13800,Hawkesbury,C,WSROC,ERA," 4,519 "," 4,429 ", 90 ,,, -   ,,," 1,011 "," 1,011 ", -   ,, -   , -   , -   ,, 86.0 , 86.0 , -   ,," 5,616 "," 5,526 ", 90 
13850,Hay,A,RAMJO Riverina,Rest of NSW,, -   ,,,, -   ,,, 14 , 14 , -   ,, 1 , 1 , -   ,,,,,, 15 , 15 , -   
13910,Hilltops,A,CRJO,Rest of NSW, 653 , 653 , -   ,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,,,,,, 653 , 653 , -   
14000,Hornsby,A,NSROC,SMA," 16,936 "," 16,936 ", -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,," 16,936 "," 16,936 ", -   
14100,Hunters Hill,A,NSROC,SMA," 1,200 "," 1,200 ", -   ,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,, 19.0 , 19.0 , -   ,," 1,219 "," 1,219 ", -   
14170,Inner West,A,SSROC,SMA," 7,275 "," 7,229 ", 46 ,, 195 , 195 , -   ,, 223 , 223 , -   ,, 68 , 68 , -   ,,,,,," 7,760 "," 7,714 ", 46 
14200,Inverell,A,NIRW,Rest of NSW,, -   ,,,, -   ,,, 72 , 48 , 24 ,, -   , -   , -   ,, 354.0 , 354.0 , -   ,, 426 , 402 , 24 
14300,Junee,A,REROC,Rest of NSW, -   , -   , -   ,, 458 , 458 , -   ,, 199 , 199 , -   ,, -   , -   , -   ,,,,,, 657 , 657 , -   
14350,Kempsey,A,MidWaste,RRA,, -   ,,," 3,473 "," 3,439 ", 34 ,, 349 , 349 , -   ,, -   , -   , -   ,,,,,," 3,822 "," 3,788 ", 34 
14400,Kiama,A,ISJO,ERA,, -   ,,," 4,619 "," 4,619 ", -   ,, 960 , 960 , -   ,, -   , -   , -   ,, 323.0 , 323.0 , -   ,," 5,902 "," 5,902 ", -   
14500,Ku-ring-gai,A,NSROC,SMA," 19,172 "," 19,172 ", -   ,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,, 606.2 , -   , 606.2 ,," 19,778 "," 19,172 ", 606 
14550,Kyogle,A,NEWF,RRA,, -   ,,,, -   ,,, 166 , 166 , -   ,, -   , -   , -   ,,,,,, 166 , 166 , -   
14600,Lachlan,A,NetWaste,Rest of NSW, 169 , -   , 169 ,,, -   ,,, 500 , 500 , -   ,, -   , -   , -   ,, -   , -   , -   ,, 669 , 500 , 169 
14650,Lake Macquarie,C,Hunter,ERA,, -   ,,," 35,042 "," 34,635 ", 407 ,, 814 , 814 , -   ,, 489 , 489 , -   ,, -   , -   , -   ,," 36,345 "," 35,938 ", 407 
