,,,,,Total Domestic Recyclable Generation (tonnes),,,,,,,,,,,,,,,,,,
,,,,,Kerbside Recycling Bin,,,,CDS Recycling,,,,Drop off Recycling,,,,Cleanup Recycling,,,,Total Recycling,,
LGA Code,LGA Name,Region Type,Council Name,Regional Groups,Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed,, Collected ,Recycled,Disposed,, Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed
10050,Albury,C,RAMJO Murray,Rest of NSW," 4,556 "," 4,192 ", 364 ,," 1,920 "," 1,920 ",,, 57 , 57 , -   ,, -   , -   , -   ,," 6,533 "," 6,169 ", 364 
10130,Armidale Regional,A,NIRW,Rest of NSW," 2,822 "," 2,720 ", 102 ,, 644 , 644 ,,, 584 , 565 , 19 ,, -   , -   , -   ,," 4,050 "," 3,929 ", 121 
10250,Ballina,A,NEWF,RRA," 4,315 "," 4,135 ", 180 ,, 847 , 847 ,,, -   , -   , -   ,, -   , -   , -   ,," 5,161 "," 4,982 ", 180 
10300,Balranald,A,RAMJO Murray,Rest of NSW, -   , -   , -   ,, 28 , 28 ,,, -   , -   , -   ,, -   , -   , -   ,, 28 , 28 , -   
10470,Bathurst Regional,A,NetWaste,Rest of NSW," 2,274 "," 2,106 ", 168 ,," 1,196 "," 1,196 ",,," 1,628 "," 1,628 ", -   ,, -   , -   , -   ,," 5,098 "," 4,930 ", 168 
10500,Bayside Council ,C,SSROC,SMA," 9,940 "," 8,711 "," 1,229 ",," 2,519 "," 2,519 ",,, 104 , 85 , 18 ,, 235 , 176 , 59 ,," 12,798 "," 11,492 "," 1,306 "
10550,Bega Valley,A,CRJO,Rest of NSW," 3,622 "," 3,262 ", 360 ,, 809 , 809 ,,," 2,550 "," 2,480 ", 70 ,, -   , -   , -   ,," 6,981 "," 6,551 ", 430 
10600,Bellingen,A,MidWaste,RRA," 1,034 ", 961 , 72 ,, 198 , 198 ,,, -   , -   , -   ,, -   , -   , -   ,," 1,231 "," 1,159 ", 72 
10650,Berrigan,A,RAMJO Murray,Rest of NSW, 639 , 613 , 27 ,, 61 , 61 ,,, 552 , 552 , -   ,, -   , -   , -   ,," 1,252 "," 1,226 ", 27 
10750,Blacktown,C,WSROC,SMA," 20,405 "," 18,899 "," 1,506 ",," 5,551 "," 5,551 ",,, -   , -   , -   ,," 8,255 "," 8,255 ", -   ,," 34,212 "," 32,706 "," 1,506 "
