,,,,,Total Domestic Recyclable Generation (tonnes),,,,,,,,,,,,,,,,,,
,,,,,Kerbside Recycling Bin,,,,CDS Recycling,,,,Drop off Recycling,,,,Cleanup Recycling,,,,Total Recycling,,
,,,,,Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed,, Collected ,Recycled,Disposed,, Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed
NSW,,,,,570978.81,514105.45,56873.36,,119860.9709,119860.9709,0,,106002.22,102080.01,3922.21,,18415.164,16921.174,1493.99,,815257.1649,752967.6049,62289.56
,2021-22,,,,,,,,,,,,,,,,,,,,,,
SMA,,,,,316824.65,285019.49,31805.16,,48079.97574,48079.97574,0,,2982.12,2964.11,18.01,,11266.23,9813.74,1452.49,,379152.9757,345877.3157,33275.66
ERA,,,,,121172.63,111758.2,9414.43,,28144.89988,28144.89988,0,,20251.3,20147.7,103.6,,4578.304,4578.304,0,,174147.1339,164629.1039,9518.03
RRA,,,,,70208.39,61101.95,9106.44,,18188.14649,18188.14649,0,,18785.4,18408.4,377,,1390.34,1390.34,0,,108572.2765,99088.83649,9483.44
Rest of NSW,,,,,62773.14,56225.81,6547.33,,25447.94875,25447.94875,0,,63983.4,60559.8,3423.6,,1180.29,1138.79,41.5,,153384.7788,143372.3488,10012.43
,,,,,,,,,,,,,,,,,,,,,,,
NSW,,,,,563595.23,499049.22,64546.01,,136067.0306,136067.0306,0,,107773.56,103998.37,3775.19,,20523.82,20108.71,415.11,,827959.6406,759223.3306,68736.31
,2020-21,,,,,,,,,,,,,,,,,,,,,,
SMA,,,,,307935.64,273100.02,34835.62,,56160.37831,56160.37831,0,,3251.07,3100.16,150.91,,13747.43,13383.17,364.26,,381094.5183,345743.7283,35350.79
ERA,,,,,117830.15,104017.19,13812.96,,31802.26415,31802.26415,0,,22543.53,22514.64,28.89,,3594.81,3592.46,2.35,,175770.7541,161926.5541,13844.2
RRA,,,,,70102.34,62184.36,7917.98,,20354.30606,20354.30606,0,,24038.21,23966.05,72.16,,1661.85,1661.85,0,,116156.7061,108166.5661,7990.14
Rest of NSW,,,,,67727.1,59747.65,7979.45,,27750.0821,27750.0821,0,,57940.75,54417.52,3523.23,,1519.73,1471.23,48.5,,154937.6621,143386.4821,11551.18
,,,,,,,,,,,,,,,,,,,,,,,
