,,,,,Total Domestic Generation (tonnes),,,,,,,,,,,,,
,,,,,Recyclables,,,Organics,,,Residual Waste,,,,Total Domestic Collected,Total Recycled,Total Disposed,Recycling Rate (%)
,,,,,Collected ,Recycled,Disposed,Collected ,Recycled,Disposed,Collected ,Recycled,Disposed,,,,,
NSW,,,,,815257.1649,752967.6049,62289.56,936021.9,922354.83,13667.07,2340727.24,219471.24,2121256,,4092006.305,1894793.675,2197212.63,46.30475942
,2021-22,,,,,,,,,,,,,,,,,
SMA,,,,,379152.9757,345877.3157,33275.66,384519.08,379390.95,5128.13,1264373.33,190527.95,1073845.38,,2028045.386,915796.2157,1112249.17,45.15659374
ERA,,,,,174147.1339,164629.1039,9518.03,236333.8,235201.72,1132.08,468773.32,10189.42,458583.9,,879254.2539,410020.2439,469234.01,46.63272791
RRA,,,,,108572.2765,99088.83649,9483.44,141708.19,140192.89,1515.3,221588.76,5876.21,215712.55,,471869.2265,245157.9365,226711.29,51.95463546
Rest of NSW,,,,,153384.7788,143372.3488,10012.43,173460.83,167569.27,5891.56,385991.83,12877.66,373114.17,,712837.4388,323819.2788,389018.16,45.42680577
,,,,,,,,,,,,,,,,,,
NSW,,,,,827959.6406,759223.3306,68736.31,863221.53,846827.07,16394.28,2353185.69,260054.72,2093130.97,,4044366.861,1866105.121,2178261.56,46.14084688
,2020-21,,,,,,,,,,,,,,,,,
SMA,,,,,381094.5183,345743.7283,35350.79,346993.48,343526.49,3466.99,1230625.65,211940.67,1018684.98,,1958713.648,901210.8883,1057502.76,46.01034404
ERA,,,,,175770.7541,161926.5541,13844.2,215516.38,213910.14,1606.24,472595.35,25533.7,447061.65,,863882.4841,401370.3941,462512.09,46.46122609
RRA,,,,,116156.7061,108166.5661,7990.14,134995.94,133782.65,1213.29,259683.32,15395.72,244287.6,,510835.9661,257344.9361,253491.03,50.37721562
Rest of NSW,,,,,154937.6621,143386.4821,11551.18,165715.73,155607.79,10107.76,390281.37,7184.63,383096.74,,710934.7621,306178.9021,404755.68,43.06708835
,,,,,,,,,,,,,,,,,,
NSW,,,,,796460.8402,738669.1502,57791.69,765184.12,746490.02,17387.29,2240830.37,176651.49,2062741.34,,3802475.33,1661810.66,2137920.32,43.70339097
,2019-20,,,,,,,,,,,,,,,,,
SMA,,,,,378832.2739,345635.9339,33196.34,321653.65,317678.56,3975.09,1224981.08,128944.52,1096036.56,,1925467.004,792259.0139,1133207.99,41.14633034
ERA,,,,,172154.9141,161874.7341,10280.18,182221.3,180918.51,1302.79,442932.85,15371.76,426123.09,,797309.0641,358165.0041,437706.06,44.92172737
RRA,,,,,116037.1738,108811.4838,7225.69,133321.39,126482.05,5532.53,237689.18,16901.66,220787.52,,487047.7438,252195.1938,233545.74,51.78038437
Rest of the State,,,,,129436.4784,122346.9984,7089.48,127987.78,121410.9,6576.88,335227.26,15433.55,319794.17,,592651.5184,259191.4484,333460.53,43.73420811
,,,,,,,,,,,,,,,,,,
NSW,,,,,797119.6078,732011.8078,65107.8,778877.75,759561.57,19310.92,2080441.08,227807.71,1852633.37,,3656438.438,1719381.088,1937052.09,47.02338401
,2018-19,,,,,,,,,,,,,,,,,
