,,,,,Total Domestic Residual Waste Generation and Disposal (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kerbside Waste Bin,,,,Kerbside,,,Drop Off,,,,,,,Clean Up,,,,,,,Total Disposed to Landfill,,Total Waste,,,,
,,,,,Collected,Recycled,Disposed,,Recycling Bin Disposed,Organics Bin Disposed,,Recycling Disposed,Organics Disposed,,Waste Collected,Waste Recycled,Waste Disposed,,Recycling Disposed,Organics Disposed,,Waste Collected,Waste Recycled,Waste Disposed,,,,Collected,Recycled,Waste Disposed,Recycling  Disposed,Organics Disposed
NSW,,,,,1831255.32,162941.76,1668313.56,,56873.36,7438.84,,3922.21,4845.72,,275031.12,19403.34,255627.78,,1493.99,1382.51,,234440.8,37126.14,197314.66,,2197212.63,,2340727.24,219471.24,2121256,62289.56,13667.07
,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA,,,,,1098742.8,156630.61,942112.19,,31805.16,3797.55,,18.01,0,,973.79,973.29,0.5,,1452.49,1330.58,,164656.74,32924.05,131732.69,,1112249.17,,1264373.33,190527.95,1073845.38,33275.66,5128.13
ERA,,,,,348807.47,5612.22,343195.25,,9414.43,1132.08,,103.6,0,,65855.74,1826.27,64029.47,,0,0,,54110.11,2750.93,51359.18,,469234.01,,468773.32,10189.42,458583.9,9518.03,1132.08
RRA,,,,,156470.74,698.93,155771.81,,9106.44,1515.3,,377,0,,53783.9,3997.4,49786.5,,0,0,,11334.12,1179.88,10154.24,,226711.29,,221588.76,5876.21,215712.55,9483.44,1515.3
Rest of NSW,,,,,227234.31,0,227234.31,,6547.33,993.91,,3423.6,4845.72,,154417.69,12606.38,141811.31,,41.5,51.93,,4339.83,271.28,4068.55,,389018.16,,385991.83,12877.66,373114.17,10012.43,5891.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,,,,,1779223.38,171899.84,1607323.54,,64546.01,8211.51,,3775.19,8161.77,,340420.18,42265.96,298154.22,,415.11,21,,233542.13,45888.92,187653.21,,2178261.56,,2353185.69,260054.72,2093130.97,68736.31,16394.28
,2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA,,,,,1057327.43,161628.66,895698.77,,34835.62,3465.99,,150.91,0,,11495.36,11173.83,321.53,,364.26,1,,161802.86,39138.18,122664.68,,1057502.76,,1230625.65,211940.67,1018684.98,35350.79,3466.99
